"R","d","R","R","l","d","R","r","R","r","R","D","l","d","d","R","u","R","u","u","u","R","R","R","l","D","D","l","R","D","l","u","u","l","r","d","l","r","R","R","d","R","l","l","l","l","u","R","u","l","l","D","U","R","l","L","R","r","l","l","l","u","u","R","R","l","d","l","D","l","R","U","D","l","l","u","u","u","R","l","R","R","d","R","l","R","l","R","D","R","u","u","l","u","R","l","l","R","l","R","R","d","l","R","L","l","l","R","l","l","r","R","r","l","R","l","l","l","R","d","u","r","D","l","L","R","R","R","D","l","l","d","l","l","R","l","l","D","u","R","l","l","r","d","l","u","R","l","d","l","R","d","d","l","R","r","D","l","u","R","l","l","u","u","u","D","R","D","D","R","U","R","d","R","d","u","R","R","l","D","l","R","D","R","R","l","l","r","R","R","R","u","l","R","R","l","l","r","l","r","u","R","l","r","d","u","D","l","R","u","u","l","l","d","D","l","l","l","l","L","r","R","D","l","R","l","R","R","R","R","l","L","u","l","l","R","D","l","d","D","u","u","D","l","l","l","u","R","d","u","R","r","l","u","u","R","l","R","u","l","l","R","R","u","R","u","u","R","d","l","u","l","l","l","d","R","r","R","u","l","R","l","R","u","d","l","u","R","l","D","l","R","l","r","u","d","l","d","r","R","u","u","l","R","l","u","D","l","r","r","l","R","l","l","u","l","d","d","R","R","l","R","R","l","u","d","l","l","R","l","R","d","D","R","u","u","l","l","R","R","u","D","d","d","R","R","l","R","R","u","u","R","l","l","R","d","l","d","D","D","l","u","l","r","R","D","l","R","R","R","U","d","l","l","R","u","R","R","d","R","u","R","R","R","l","l","l","l","L","u","d","R","l","u","u","R","D","D","l","u","D","l","R","l","R","l","D","R","l","u","l","d","R","R","R","R","l","d","R","l","u","R","R","l","l","u","R","u","R","R","R","l","l","d","R","R","L","u","l","u","r","d","l","u","l","l","R","u","R","R","d","l","d","d","u","u","D","l","l","u","R","R","L","u","r","R","l","l","l","l","d","U","r","R","l","d","l","R","d","u","u","d","l","u","d","R","l","R","l","u","l","R","u","u","U","r","l","l"
"u","R","u","d","d","l","l","R","u","R","r","u","l","R","u","R","R","l","R","d","u","l","u","l","l","l","R","u","D","u","u","l","l","l","l","l","R","u","u","R","u","D","l","l","d","l","u","l","R","R","D","l","R","R","u","u","R","l","D","R","R","R","l","u","l","l","R","u","l","R","l","R","l","l","R","u","r","R","l","R","r","R","d","u","R","l","l","L","l","l","D","d","l","u","R","u","l","r","D","l","u","l","R","R","d","l","r","u","l","D","l","U","R","R","R","R","u","l","l","L","d","R","L","l","u","l","R","u","R","R","R","l","l","l","l","r","R","u","l","l","u","D","r","l","l","d","R","d","L","l","r","d","l","D","u","u","R","R","d","R","l","l","u","R","l","R","l","R","u","l","R","l","l","D","u","l","d","R","l","R","d","l","u","R","u","u","d","R","D","u","u","u","l","r","u","l","l","l","u","d","r","l","l","l","d","u","r","l","R","R","d","d","R","D","u","u","u","u","R","R","r","l","l","d","d","R","l","R","R","R","u","d","l","l","r","l","R","d","u","R","u","l","l","l","R","l","R","l","R","l","l","u","l","u","l","R","l","d","d","R","R","R","D","l","u","D","d","R","u","l","l","u","l","R","l","l","l","d","R","d","R","l","u","R","R","R","l","u","d","R","D","d","R","l","r","l","l","R","R","d","D","d","r","R","l","R","R","U","l","D","l","D","u","l","D","l","r","u","R","l","l","u","R","u","l","l","D","R","u","r","u","r","R","u","d","R","D","R","R","R","l","l","U","U","d","R","R","u","R","l","r","R","R","u","d","R","R","l","d","L","l","D","l","l","D","L","R","D","U","l","l","u","D","r","l","u","l","d","l","l","l","u","R","R","R","l","R","R","l","l","l","l","u","l","L","R","R","d","R","l","U","R","l","R","l","R","d","L","R","l","r","R","R","r","u","u","u","R","u","R","R","D","R","D","R","R","R","D","u","d","R","R","R","R","l","d","d","D","l","u","R","r","l","l","d","R","d","u","l","R","l","D","R","l","u","u","D","l","R","l","d","D","r","l","R","l","d","R","l","l","R","l","u","R","R","d","l","R","d","r","l","r","D","u","u","R","D","R","R","D","d","l","R","l","R","l","R","d"
"l","l","L","l","d","u","u","l","R","D","d","u","r","r","l","u","u","l","R","r","r","l","u","l","l","u","l","l","l","u","u","d","D","l","R","R","R","d","l","u","R","D","R","R","l","u","r","l","R","R","l","l","d","l","R","l","u","l","u","D","l","u","R","u","L","r","l","l","d","R","l","R","u","u","R","u","R","l","u","l","u","R","u","l","R","r","u","d","R","R","l","R","R","R","R","l","u","R","d","R","u","d","l","R","r","d","d","r","u","R","d","l","u","R","R","R","l","R","R","R","l","l","D","R","l","L","u","R","D","d","R","l","R","R","R","r","d","l","R","u","d","D","u","L","R","R","R","R","D","l","R","u","R","R","d","R","l","R","R","d","l","R","R","R","l","l","l","u","u","u","l","R","R","u","l","d","u","R","l","r","r","R","R","R","R","l","r","d","R","l","l","u","R","D","d","l","R","l","r","d","u","R","R","R","l","r","l","R","u","D","r","u","R","l","u","R","d","l","u","l","D","d","L","R","D","D","R","l","l","l","l","R","d","D","l","d","d","l","l","l","R","R","l","R","R","R","l","R","u","d","l","l","l","u","l","l","R","d","u","u","R","r","l","D","D","r","l","d","l","u","d","l","D","R","R","l","u","l","l","u","l","u","l","D","l","R","D","d","D","U","l","R","R","u","l","u","r","R","R","l","d","R","l","D","u","d","R","R","D","R","l","u","R","l","u","l","d","D","R","l","l","l","U","l","R","d","D","l","l","R","l","l","R","l","R","R","l","R","u","R","r","R","l","d","R","D","R","u","l","u","u","D","l","R","R","R","D","r","R","u","R","u","R","R","l","R","d","l","R","R","l","l","U","R","u","R","l","u","D","l","l","u","R","l","d","l","d","l","u","l","R","R","d","R","u","d","l","l","l","U","R","L","l","u","R","l","D","l","u","l","D","l","l","l","R","l","l","l","l","l","R","r","l","l","D","u","R","R","l","u","R","R","R","l","D","D","l","l","L","u","R","u","D","R","d","u","D","l","d","l","l","l","l","R","l","l","D","u","l","u","d","R","u","l","l","r","L","l","R","d","u","d","d","r","R","R","U","d","l","d","R","l","R","l","l","d","R","l","l","u","u","u","r","U","l","u","R","R"
"d","D","u","l","R","R","r","l","u","D","R","R","l","l","U","L","d","D","u","R","d","R","l","R","R","u","l","R","u","l","u","R","R","d","d","l","D","R","R","D","l","R","R","l","R","r","R","u","d","l","R","R","R","r","u","l","d","u","D","l","R","R","l","R","l","R","l","u","l","u","R","u","l","D","l","R","u","l","u","l","u","l","D","u","l","l","l","u","R","l","d","l","l","l","u","l","D","l","l","l","R","R","D","d","l","R","l","R","u","D","r","R","R","u","r","l","d","u","R","R","u","r","l","u","R","u","l","R","u","d","r","R","u","R","u","l","R","R","l","l","u","l","r","R","R","l","R","l","l","U","l","l","l","l","u","u","u","u","l","d","R","u","l","L","r","R","r","r","l","u","R","R","l","u","R","D","l","R","u","l","D","l","D","l","R","l","l","D","l","R","l","d","u","l","R","d","l","u","R","R","R","R","R","l","R","u","l","d","u","u","R","d","l","L","u","D","R","l","d","R","l","l","l","l","R","R","R","d","l","D","d","u","R","R","d","R","l","u","R","R","d","R","d","u","u","l","l","D","l","d","R","R","l","R","d","u","d","u","l","d","l","r","d","D","D","R","R","u","l","D","r","l","u","u","R","R","d","l","l","D","u","l","R","R","R","R","l","l","l","R","l","U","l","D","R","R","D","l","l","R","l","l","u","u","l","l","D","R","l","l","R","d","d","l","R","d","D","R","u","R","R","l","u","d","l","l","r","l","l","R","l","R","l","d","u","R","R","d","R","l","D","D","u","d","u","R","l","l","l","l","l","l","u","l","D","R","u","d","L","d","l","R","u","r","r","r","l","R","R","R","U","U","d","l","R","R","r","l","u","u","u","r","R","l","u","l","l","R","R","d","d","u","l","R","L","R","D","r","l","R","R","l","l","R","d","D","u","d","R","R","d","L","l","R","l","R","R","l","l","R","D","R","u","R","R","R","l","u","R","l","R","R","u","R","u","l","d","l","l","r","u","r","l","R","l","u","l","R","l","d","l","R","R","u","u","D","L","R","l","r","D","l","l","l","d","R","R","u","R","d","r","l","u","U","R","l","d","D","R","l","l","R","r","R","u","l","u","l","u","R","l","l","r","D","l","u","l","d"
"D","u","l","l","l","D","l","u","R","l","r","r","R","R","R","l","R","R","D","u","u","D","l","R","l","R","D","u","l","R","d","u","u","l","D","d","u","l","l","l","l","R","D","R","u","R","d","l","d","l","R","l","l","r","l","l","l","d","l","R","D","R","d","u","U","l","d","l","R","R","l","l","r","R","l","D","l","d","l","l","u","R","l","R","R","d","R","d","l","u","d","l","l","u","d","l","L","d","u","l","R","R","d","l","R","d","R","u","u","l","l","u","R","l","R","R","U","r","l","R","R","D","l","R","d","R","u","u","R","l","l","l","R","l","L","l","d","R","L","R","u","U","D","l","R","l","D","u","R","l","u","l","d","R","R","R","r","r","R","d","u","D","R","R","l","r","D","l","l","l","d","d","u","r","d","R","R","d","D","l","l","R","u","l","u","R","l","D","l","R","r","R","R","r","D","D","l","d","R","u","u","d","l","R","l","l","R","D","u","l","R","l","R","l","l","r","D","l","l","R","l","u","l","R","R","L","R","l","l","l","R","l","u","u","u","R","D","u","u","u","R","u","R","R","l","u","d","R","R","d","R","l","l","l","u","l","L","l","l","d","D","u","r","R","l","d","l","r","R","D","u","l","R","l","l","l","u","u","l","d","u","u","l","d","l","U","L","l","R","R","R","u","R","R","l","R","l","d","l","l","l","d","l","R","u","d","d","d","u","L","l","R","R","r","r","u","D","l","R","l","R","u","l","l","u","R","U","l","R","d","R","u","R","l","R","l","u","u","l","R","u","R","l","l","R","l","l","L","R","R","R","u","l","r","D","R","l","d","l","R","u","u","D","l","R","R","u","l","R","l","D","R","R","u","R","l","l","u","l","l","l","R","R","R","d","u","R","R","R","l","D","D","l","d","u","d","R","u","r","l","R","R","l","u","R","u","R","l","R","u","R","D","R","l","l","l","R","l","u","R","l","R","R","u","R","d","u","u","R","u","l","u","u","R","r","d","D","u","r","r","l","d","r","R","u","l","R","d","l","r","l","l","R","l","R","U","l","r","D","u","l","r","R","d","u","l","R","R","d","R","u","R","d","l","D","l","D","d","l","R","R","u","r","R","l","R","u","d","R","l","l","R","R","R","l","D","D","l"
"l","R","R","l","D","r","l","l","l","d","R","R","D","u","l","D","l","L","R","l","l","u","R","u","R","l","R","R","d","R","R","d","R","l","l","R","R","r","l","r","l","R","l","R","d","D","R","l","D","D","D","R","D","R","l","u","D","u","r","D","D","d","D","R","R","R","R","l","u","r","u","R","u","l","d","R","l","l","R","r","u","u","l","R","u","R","l","l","R","R","l","u","R","R","D","u","R","R","l","R","R","l","u","u","D","d","l","l","R","l","u","d","d","l","l","u","l","u","d","u","l","l","l","u","r","l","R","d","U","r","l","u","u","l","l","R","R","u","u","R","R","R","u","L","u","R","D","l","r","u","l","R","R","l","D","U","l","R","R","d","l","r","r","l","R","L","d","R","D","l","d","l","U","R","l","R","D","l","R","l","R","l","r","R","R","l","u","l","R","R","l","l","D","u","l","R","d","r","L","U","R","u","u","R","u","u","R","u","u","r","R","R","l","d","u","d","u","l","l","d","d","R","l","d","u","l","R","u","l","u","l","R","l","l","d","d","l","R","r","d","L","d","l","R","R","R","l","d","R","R","u","l","u","R","u","l","u","d","l","l","l","D","u","l","R","R","l","l","R","r","r","u","R","u","D","l","u","d","R","l","l","R","U","l","l","l","R","D","l","l","R","l","d","d","d","R","R","R","l","u","R","l","d","l","u","l","l","d","u","u","l","l","d","l","l","u","d","r","l","u","R","l","l","u","R","R","R","u","R","l","d","R","L","l","l","D","R","R","R","d","r","d","d","R","l","d","l","R","u","u","R","R","l","l","l","u","D","R","R","r","U","D","l","R","l","l","u","u","u","R","l","r","l","R","l","R","l","l","l","R","D","u","r","u","l","l","u","R","l","l","d","R","R","R","R","R","l","D","D","r","l","l","u","u","l","u","l","l","l","d","d","R","R","l","l","d","l","R","d","l","R","d","u","R","R","l","r","d","u","u","r","R","l","R","l","l","R","l","l","l","R","l","D","R","R","D","R","l","L","u","D","l","R","R","u","d","R","R","R","d","u","l","R","D","u","R","R","R","R","R","l","d","u","l","R","R","L","l","l","R","l","u","u","D","u","l","l","u","R","R","d","D","u","l","l","D","l","l","R"
"R","d","R","R","r","r","R","u","R","l","u","R","l","l","l","r","R","R","l","D","L","D","r","R","l","R","R","R","R","l","l","l","R","D","R","l","l","u","r","D","R","R","l","R","l","R","l","u","R","R","l","l","l","R","u","l","R","l","l","L","l","l","l","l","u","l","l","D","d","R","l","l","d","l","R","u","u","D","l","l","D","u","l","D","l","R","u","l","R","R","R","l","R","u","u","d","R","D","R","l","l","L","R","R","R","R","l","u","l","l","u","l","R","l","D","D","R","l","u","R","l","R","l","R","R","D","l","u","D","l","u","U","R","R","l","r","R","l","l","U","u","R","l","R","D","R","l","R","R","d","l","d","R","d","R","r","u","l","D","R","u","r","R","u","R","l","d","l","U","l","d","d","l","d","u","r","R","d","d","R","r","u","d","l","R","l","u","d","R","R","u","u","r","L","u","d","r","R","d","d","d","l","R","u","l","r","l","R","R","D","D","R","R","u","d","D","l","l","D","R","l","l","U","R","R","u","u","l","R","R","l","D","u","R","l","d","R","R","R","l","D","u","R","l","u","R","R","u","R","R","d","R","l","l","u","l","l","R","u","l","l","R","l","u","l","u","R","L","l","R","l","u","R","u","u","R","R","r","u","D","l","l","l","R","R","R","d","l","l","R","u","d","R","l","r","R","u","R","l","u","D","L","l","l","u","u","l","r","l","R","R","R","D","l","l","l","u","U","l","u","U","r","l","u","u","R","l","u","l","d","l","l","l","D","d","l","L","l","u","L","d","d","u","R","d","u","d","R","d","l","l","R","R","R","d","D","D","d","d","u","R","R","u","r","l","d","u","l","l","u","l","l","r","d","l","u","D","D","l","l","u","l","d","u","u","r","l","u","R","d","l","u","l","r","l","D","u","u","l","d","u","u","u","R","d","R","r","l","R","D","R","l","d","l","l","u","l","D","d","R","d","l","R","R","l","D","u","u","d","l","l","R","D","u","R","u","R","l","R","d","R","l","R","u","R","R","l","l","l","R","R","u","R","l","R","r","R","D","R","r","l","u","R","u","l","R","l","R","d","l","R","R","R","u","R","l","l","l","r","l","R","R","d","D","R","d","l","d","l","l","R","l","R","R","R","R","l","l"
"l","l","d","l","l","d","U","u","d","R","l","l","u","l","R","L","u","D","R","R","r","d","l","R","R","u","D","R","r","l","D","d","R","d","l","l","R","r","r","R","R","l","l","d","l","R","R","d","R","R","r","l","R","l","R","d","R","R","R","D","R","u","l","R","u","L","l","R","l","l","d","R","R","u","u","D","R","D","R","R","l","R","R","R","u","R","l","L","D","u","l","u","l","R","l","u","d","d","l","l","R","d","D","l","L","r","d","R","R","u","u","R","R","r","u","d","R","l","R","d","r","l","l","R","l","R","u","R","r","R","l","l","l","D","R","l","u","u","l","R","R","d","l","d","R","R","R","D","r","R","l","l","l","u","l","U","u","R","u","R","R","u","R","R","u","R","l","r","D","u","l","l","d","l","r","l","l","l","u","l","l","l","u","U","D","u","R","R","u","d","u","R","D","l","u","u","d","l","R","u","l","u","R","R","l","l","l","l","l","R","L","u","R","D","l","l","l","R","R","l","D","R","u","R","l","u","R","R","R","l","l","r","u","R","l","l","l","R","d","D","l","R","R","R","R","l","L","r","R","D","R","d","l","l","u","R","u","u","R","d","l","l","r","l","R","u","u","r","R","u","R","R","D","d","l","l","d","d","l","D","l","R","l","R","l","u","l","l","u","R","l","d","R","l","R","R","u","u","u","l","D","u","R","l","u","d","l","D","R","r","R","l","R","u","D","d","U","l","d","D","R","R","R","l","l","u","R","u","u","l","R","R","R","R","l","l","R","R","l","u","r","D","d","R","l","r","R","D","d","u","l","R","r","l","l","R","l","R","u","l","l","L","l","R","R","d","l","u","l","r","l","u","l","l","R","d","l","d","l","R","u","l","R","d","r","R","R","D","D","R","l","u","l","d","l","u","R","R","u","u","l","R","R","R","L","l","l","l","R","u","r","u","l","l","l","d","d","U","D","R","u","r","u","D","u","d","d","u","l","d","U","D","l","u","l","R","u","u","R","R","r","l","D","R","d","l","l","l","D","R","R","R","l","u","l","d","u","d","r","l","d","R","l","u","R","R","R","u","d","d","l","l","R","l","d","u","u","l","l","l","l","R","l","l","D","D","D","u","u","l","R","l","l","l","u","l","l","R"
"l","l","R","l","l","l","R","r","u","l","l","R","l","u","R","l","R","L","l","u","d","d","R","l","R","R","R","R","u","R","U","d","R","l","l","l","d","D","u","l","d","D","R","l","l","l","l","R","u","R","u","R","r","l","l","l","l","r","r","R","R","l","u","D","R","l","R","R","l","r","d","R","R","D","R","R","l","l","R","l","l","l","r","L","R","l","l","r","u","u","u","u","R","d","u","u","R","R","l","d","u","u","R","R","l","l","d","u","R","r","R","d","l","d","l","u","l","u","D","D","L","l","R","d","l","u","u","R","l","u","l","l","d","u","D","l","d","l","u","r","R","l","R","d","d","l","l","R","l","l","d","R","u","l","u","d","R","U","L","D","R","d","l","U","l","R","l","r","R","R","l","R","l","u","l","d","u","R","r","R","R","r","l","D","u","R","R","l","R","r","d","u","l","D","R","d","d","u","l","D","l","R","u","l","l","u","R","R","R","l","d","D","l","d","l","l","R","u","l","u","R","u","l","l","u","R","u","L","R","R","u","u","u","d","D","l","u","R","l","R","l","R","R","u","d","L","l","D","l","d","D","R","r","u","u","r","u","d","l","l","D","l","l","l","R","D","l","l","R","R","u","u","D","l","u","R","L","R","l","R","D","l","R","R","r","u","l","d","l","R","R","l","R","R","l","r","R","l","l","U","l","R","u","u","R","R","R","l","l","R","r","R","R","l","u","D","D","d","R","D","R","l","l","u","l","R","l","r","R","l","u","u","u","r","D","R","R","R","R","D","r","l","r","l","d","r","R","u","u","R","R","u","d","l","R","d","R","R","l","d","d","l","u","l","l","d","D","D","l","u","R","D","l","r","l","l","R","u","l","U","u","R","l","R","R","u","R","l","R","R","R","u","R","R","R","R","l","l","R","R","u","d","l","l","l","R","l","l","d","l","L","R","R","R","D","l","R","U","l","D","d","u","l","R","l","D","d","l","l","l","R","u","l","l","u","l","d","R","l","R","u","u","l","l","l","l","R","u","u","d","l","l","R","d","D","R","l","l","u","d","R","l","u","l","u","l","l","r","R","l","l","l","r","u","u","R","R","d","R","u","R","l","R","l","u","R","D","D","R","D","d","R","R","u","l","R","R","R"
"u","R","u","u","u","r","U","l","u","u","R","l","u","R","r","R","d","u","u","R","R","R","u","R","u","U","D","l","d","R","l","r","R","d","d","R","l","u","u","d","l","R","R","l","l","R","R","u","D","l","D","l","l","r","l","u","l","d","R","u","l","d","l","l","l","u","R","R","u","l","D","L","l","d","u","l","l","l","R","R","R","l","R","l","D","u","l","u","R","R","u","l","u","l","d","D","R","D","R","R","l","D","u","R","D","u","l","l","l","d","l","R","R","l","r","D","l","D","u","u","d","d","D","l","U","R","R","R","l","l","l","R","u","l","l","d","d","R","D","l","D","u","D","u","l","d","l","u","D","l","R","L","l","r","R","d","d","u","l","l","d","R","u","u","d","u","D","l","u","D","L","l","R","L","d","R","R","l","l","l","l","R","l","D","r","l","u","d","l","u","L","r","l","d","l","l","d","R","R","r","D","U","l","u","l","R","R","D","D","l","D","l","l","l","d","L","l","l","l","l","d","l","l","r","R","d","R","u","R","u","l","R","u","U","l","u","L","l","r","R","l","R","R","u","R","l","d","D","u","R","l","R","l","R","d","R","u","U","R","R","r","R","l","u","l","r","D","l","u","d","l","R","l","l","l","d","r","R","R","D","R","u","l","R","r","l","u","R","l","R","R","l","d","R","D","r","l","l","l","D","R","l","R","d","d","l","r","R","u","D","l","R","l","u","R","r","R","R","R","l","u","r","r","R","R","R","d","l","u","R","R","r","d","l","l","R","d","r","d","d","u","l","l","D","u","D","u","R","R","R","D","R","d","d","l","l","R","R","u","r","R","l","l","u","l","R","R","u","r","R","l","R","r","l","l","l","u","l","R","R","R","l","l","l","D","l","R","R","R","R","u","l","D","d","u","l","d","R","l","u","l","d","u","l","R","R","R","l","R","u","l","R","R","R","l","d","l","u","u","l","l","u","l","R","R","R","l","l","d","R","R","l","u","R","l","R","l","u","D","R","R","l","l","l","u","R","l","R","u","R","l","D","L","d","R","l","l","R","l","R","R","R","R","l","R","R","l","l","R","l","l","R","R","l","d","l","u","u","l","d","R","u","u","l","R","r","d","l","R","R","l","u","R","l","R","R","u","R"
"D","R","R","R","R","l","u","u","D","d","l","d","R","l","R","R","l","L","l","R","D","R","r","u","d","u","D","R","R","R","l","D","d","l","l","l","u","l","l","R","l","R","l","D","l","l","R","R","l","l","d","l","R","R","R","u","R","R","R","d","r","l","l","R","L","D","R","d","D","d","l","R","R","u","l","D","D","R","d","R","r","R","l","R","R","R","D","l","r","u","u","l","r","d","l","R","r","u","d","R","u","r","r","l","r","l","R","r","d","l","u","d","d","R","u","l","R","l","l","u","R","l","l","U","R","u","L","u","d","l","L","R","R","r","R","d","d","U","R","d","R","u","D","r","u","u","U","d","l","R","l","u","R","l","l","l","u","R","l","R","d","l","l","u","d","d","l","D","R","R","R","u","R","l","R","l","l","u","D","u","l","l","R","D","R","l","l","d","l","d","l","R","u","u","u","R","R","u","D","l","l","l","R","R","r","R","u","l","R","u","R","u","D","R","u","u","u","D","u","l","l","l","l","l","D","u","l","R","d","R","l","l","r","d","u","R","l","R","l","R","R","u","R","l","R","l","R","R","l","u","R","u","D","d","u","u","l","R","R","R","L","R","u","R","l","u","u","R","l","R","l","u","D","r","R","d","R","R","l","l","R","l","R","R","L","l","l","R","l","l","d","u","R","R","u","u","D","l","l","r","l","u","d","R","d","u","R","u","l","d","d","l","r","l","u","l","D","u","l","d","l","D","R","D","l","R","l","l","u","l","R","u","r","d","R","d","R","R","D","u","R","l","R","R","d","l","R","R","l","l","R","R","l","d","R","D","R","u","l","D","U","R","l","d","R","l","d","D","R","d","u","u","l","u","u","l","l","r","u","R","l","u","D","l","l","l","u","R","l","d","R","l","l","L","R","R","l","u","l","R","R","D","l","R","R","R","l","l","l","l","l","d","u","d","R","R","R","u","l","l","l","u","l","l","r","D","l","l","l","l","r","u","r","l","l","r","l","D","R","u","l","l","d","R","R","r","R","l","l","r","R","u","l","l","R","l","l","R","r","l","d","u","d","l","R","l","l","R","R","l","u","l","R","R","L","l","U","d","D","d","l","R","u","u","l","R","R","l","u","l","l","R","u","u","R","D","l","U"
"D","l","d","u","u","L","l","R","R","R","R","u","R","l","l","u","l","d","l","u","u","R","R","L","l","u","u","l","u","l","R","l","l","u","R","l","d","R","R","R","l","R","D","R","R","u","l","r","D","L","l","l","R","R","R","L","l","R","l","D","R","l","D","u","l","l","D","D","d","D","r","D","l","R","l","R","R","L","l","R","l","l","l","u","l","l","r","l","d","u","l","d","u","R","u","l","D","l","l","l","l","R","l","l","D","R","u","R","l","R","d","R","l","R","l","r","R","R","R","u","u","l","R","l","l","R","u","u","R","R","l","d","d","R","r","u","u","d","d","L","R","u","u","u","D","R","d","l","l","u","l","u","R","R","L","d","l","R","d","R","R","l","R","u","D","R","D","l","l","R","u","u","R","R","d","l","R","u","l","u","D","l","l","R","D","R","l","r","l","l","u","r","R","r","l","d","u","d","u","R","l","u","l","d","u","u","D","u","R","r","R","R","u","R","R","R","l","l","U","l","l","l","u","l","D","l","l","D","R","D","u","u","l","u","R","R","l","r","l","r","R","R","U","l","l","u","l","R","u","l","l","R","d","r","l","l","R","R","u","u","d","u","R","l","u","l","r","R","u","R","U","R","R","l","R","R","l","D","r","d","d","r","l","u","R","d","D","l","R","u","D","R","u","d","u","R","R","u","l","l","l","u","R","D","d","l","D","l","D","l","l","u","l","R","d","D","R","d","r","R","U","R","D","l","l","r","R","R","u","R","l","l","l","R","d","u","d","u","d","R","R","r","l","r","R","l","R","l","d","d","R","l","l","D","d","R","l","l","u","l","R","R","l","R","l","r","U","R","D","l","l","R","l","d","R","l","d","l","l","R","R","R","d","d","l","l","l","R","R","u","R","l","d","l","l","l","u","D","l","R","R","l","R","d","R","l","R","D","l","d","u","R","R","L","r","l","d","R","R","R","l","l","u","D","R","R","l","R","u","u","d","d","D","u","d","l","R","l","u","l","d","u","l","R","l","l","r","l","d","u","R","U","R","D","R","d","l","R","u","u","R","d","R","u","R","l","r","d","l","l","u","u","l","l","R","u","l","R","R","R","r","l","R","R","R","l","r","R","l","d","D","l","u","r","R","l","l","R"
"l","l","l","u","u","l","R","u","u","R","R","l","u","r","D","l","R","R","u","R","u","R","u","R","R","l","l","R","r","L","u","l","R","l","D","u","r","l","R","l","R","l","R","l","d","R","l","l","l","l","d","R","u","R","l","d","u","l","d","l","R","d","r","d","R","R","D","l","d","u","l","u","l","d","l","d","l","l","D","u","R","R","l","D","l","u","l","u","l","d","d","l","d","l","l","u","l","D","R","R","u","D","R","R","R","l","l","R","u","u","l","r","l","R","u","d","u","l","R","U","u","R","l","R","l","l","l","D","R","R","L","u","l","u","R","D","R","l","R","d","R","l","l","R","r","r","d","l","d","l","l","R","D","R","d","R","D","D","R","R","l","R","u","u","R","l","R","l","r","l","R","u","r","R","u","l","d","R","r","D","d","u","d","l","l","u","R","R","R","r","l","l","D","d","l","r","d","u","D","U","R","R","u","l","l","d","R","R","R","r","l","d","R","R","l","D","R","D","R","R","R","u","D","D","l","l","l","l","R","l","u","d","R","d","u","l","l","R","l","d","l","l","l","l","d","R","l","u","l","D","R","u","R","u","R","u","d","d","l","R","R","u","l","R","d","l","d","u","R","l","L","u","u","l","r","l","R","l","u","R","R","R","u","l","R","R","l","l","u","l","D","u","d","D","D","u","R","l","u","R","R","l","l","l","u","l","R","u","l","R","l","l","U","l","l","R","R","R","u","R","R","R","R","R","R","d","l","u","u","D","u","R","U","l","R","l","R","u","l","R","R","l","d","l","R","R","u","u","d","l","D","D","R","l","l","l","R","r","d","u","R","R","l","u","R","u","D","r","d","R","r","u","R","d","l","d","l","l","l","D","l","d","L","l","d","D","u","u","l","D","l","l","L","l","l","d","R","u","R","R","R","d","l","l","u","u","l","l","l","R","R","l","R","R","R","l","l","l","u","D","u","l","u","d","R","R","r","u","l","R","d","R","u","R","d","R","r","l","u","R","l","R","R","l","u","R","R","l","R","R","R","u","u","l","r","l","l","l","l","L","u","l","D","R","R","R","d","l","l","u","D","D","L","d","R","l","R","l","r","u","U","R","d","D","R","R","l","u","l","l","l","r","r","r","L","R","R","l"
"l","l","l","l","D","l","l","r","l","R","u","l","l","r","R","l","u","l","l","l","u","R","l","d","R","l","R","R","R","l","r","R","r","R","d","D","D","R","u","l","l","R","L","u","R","l","R","l","u","l","l","R","R","u","l","l","R","l","R","U","R","l","d","l","l","u","R","r","u","l","R","d","d","l","R","u","R","d","R","u","u","R","l","D","R","R","u","l","R","R","l","R","d","U","R","D","R","l","u","R","l","u","R","D","u","D","l","l","D","R","R","u","d","R","D","l","r","d","u","D","L","l","d","u","l","D","U","R","d","l","d","R","R","R","u","l","d","R","R","R","U","l","d","R","R","R","u","R","D","R","R","R","u","l","R","u","u","l","d","l","u","u","D","r","u","R","l","R","U","R","R","D","R","l","r","R","l","l","R","u","r","l","u","d","l","l","R","u","d","L","u","u","u","l","l","r","d","l","l","l","d","d","R","l","r","R","D","D","l","l","u","r","d","R","d","l","R","l","l","R","R","l","D","l","l","L","u","d","l","R","R","r","l","L","R","l","R","R","l","r","R","l","u","l","D","R","R","R","u","u","d","l","R","u","u","D","R","D","R","R","l","u","l","R","u","R","u","u","L","l","l","l","R","u","D","u","u","u","D","l","d","u","u","R","l","l","d","R","d","u","l","u","l","R","R","R","l","d","R","l","R","D","l","R","l","d","l","r","l","R","u","R","u","l","u","l","R","l","R","D","d","l","R","d","R","R","R","D","u","l","d","R","l","l","u","u","R","l","L","R","R","u","d","l","R","R","R","r","R","u","u","R","l","l","R","r","R","l","R","R","l","u","l","u","R","l","R","d","R","l","D","D","l","U","l","d","u","u","l","l","R","u","l","l","R","l","R","l","R","R","l","R","u","l","d","R","u","l","u","d","l","l","l","R","l","u","D","u","l","l","R","u","R","r","D","l","d","l","R","D","l","R","R","l","r","u","u","r","l","R","l","l","D","R","R","l","D","r","u","d","L","d","l","R","R","r","l","R","l","r","l","R","d","D","l","l","u","D","R","d","l","d","R","l","l","R","R","l","l","d","D","d","l","l","l","l","u","R","u","R","R","d","R","u","d","r","l","l","R","d","l","r","l","l","l","l","u","R"
